"location","variable","estimate","year","trait1","trait2","trait3","trait4","trait5","trait6"
"Seattle city, Washington","S0802_C04_065",0,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over","CLASS OF WORKER","Unpaid family workers",NA
"Seattle city, Washington","S0802_C04_066",99.7,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over","PLACE OF WORK","Worked in state of residence",NA
"Seattle city, Washington","S0802_C04_067",98,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over","PLACE OF WORK","Worked in state of residence","Worked in county of residence"
"Seattle city, Washington","S0802_C04_068",1.6,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over","PLACE OF WORK","Worked in state of residence","Worked outside county of residence"
"Seattle city, Washington","S0802_C04_069",0.3,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over","PLACE OF WORK","Worked outside state of residence",NA
"Seattle city, Washington","S0802_C04_070",87899,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home",NA,NA,NA
"Seattle city, Washington","S0802_C04_071",1,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","12:00 a.m. to 4:59 a.m.",NA
"Seattle city, Washington","S0802_C04_072",1.3,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","5:00 a.m. to 5:29 a.m.",NA
"Seattle city, Washington","S0802_C04_073",2.6,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","5:30 a.m. to 5:59 a.m.",NA
"Seattle city, Washington","S0802_C04_074",6.1,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","6:00 a.m. to 6:29 a.m.",NA
"Seattle city, Washington","S0802_C04_075",6.1,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","6:30 a.m. to 6:59 a.m.",NA
"Seattle city, Washington","S0802_C04_076",14.2,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","7:00 a.m. to 7:29 a.m.",NA
"Seattle city, Washington","S0802_C04_077",15.1,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","7:30 a.m. to 7:59 a.m.",NA
"Seattle city, Washington","S0802_C04_078",16.2,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","8:00 a.m. to 8:29 a.m.",NA
"Seattle city, Washington","S0802_C04_079",10.5,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","8:30 a.m. to 8:59 a.m.",NA
"Seattle city, Washington","S0802_C04_080",26.9,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","9:00 a.m. to 11:59 p.m.",NA
"Seattle city, Washington","S0802_C04_081",0.2,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","Less than 10 minutes",NA
"Seattle city, Washington","S0802_C04_082",2.3,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","10 to 14 minutes",NA
"Seattle city, Washington","S0802_C04_083",7.2,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","15 to 19 minutes",NA
"Seattle city, Washington","S0802_C04_084",12.3,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","20 to 24 minutes",NA
"Seattle city, Washington","S0802_C04_085",8.1,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","25 to 29 minutes",NA
"Seattle city, Washington","S0802_C04_086",20.4,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","30 to 34 minutes",NA
"Seattle city, Washington","S0802_C04_087",15.8,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","35 to 44 minutes",NA
"Seattle city, Washington","S0802_C04_088",19.6,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","45 to 59 minutes",NA
"Seattle city, Washington","S0802_C04_089",14.3,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","60 or more minutes",NA
"Seattle city, Washington","S0802_C04_090",38.6,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","Mean travel time to work (minutes)",NA
"Seattle city, Washington","S0802_C04_091",87056,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over in households",NA,NA,NA
"Seattle city, Washington","S0802_C04_092",37.4,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over in households","HOUSING TENURE","Owner-occupied housing units",NA
"Seattle city, Washington","S0802_C04_093",62.6,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over in households","HOUSING TENURE","Renter-occupied housing units",NA
"Seattle city, Washington","S0802_C04_094",20,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over in households","VEHICLES AVAILABLE","No vehicle available",NA
"Seattle city, Washington","S0802_C04_095",39.2,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over in households","VEHICLES AVAILABLE","1 vehicle available",NA
"Seattle city, Washington","S0802_C04_096",28.4,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over in households","VEHICLES AVAILABLE","2 vehicles available",NA
"Seattle city, Washington","S0802_C04_097",12.5,2016,"Estimate","Public transportation (excluding taxicab)","Workers 16 years and over in households","VEHICLES AVAILABLE","3 or more vehicles available",NA
"Seattle city, Washington","S0802_C04_098",NA,2016,"Estimate","Public transportation (excluding taxicab)","PERCENT ALLOCATED","Means of transportation to work",NA,NA
"Seattle city, Washington","S0802_C04_099",NA,2016,"Estimate","Public transportation (excluding taxicab)","PERCENT ALLOCATED","Time of departure to go to work",NA,NA
"Seattle city, Washington","S0802_C04_100",NA,2016,"Estimate","Public transportation (excluding taxicab)","PERCENT ALLOCATED","Travel time to work",NA,NA
"Seattle city, Washington","S0802_C04_101",NA,2016,"Estimate","Public transportation (excluding taxicab)","PERCENT ALLOCATED","Vehicles available",NA,NA
"Seattle city, Washington","S0802_C01_001",426777,2017,"Estimate","Total","Workers 16 years and over",NA,NA,NA
"Seattle city, Washington","S0802_C01_002",2.2,2017,"Estimate","Total","Workers 16 years and over","AGE","16 to 19 years",NA
"Seattle city, Washington","S0802_C01_003",8.8,2017,"Estimate","Total","Workers 16 years and over","AGE","20 to 24 years",NA
"Seattle city, Washington","S0802_C01_004",55.3,2017,"Estimate","Total","Workers 16 years and over","AGE","25 to 44 years",NA
"Seattle city, Washington","S0802_C01_005",17.6,2017,"Estimate","Total","Workers 16 years and over","AGE","45 to 54 years",NA
"Seattle city, Washington","S0802_C01_006",6.6,2017,"Estimate","Total","Workers 16 years and over","AGE","55 to 59 years",NA
"Seattle city, Washington","S0802_C01_007",9.6,2017,"Estimate","Total","Workers 16 years and over","AGE","60 years and over",NA
"Seattle city, Washington","S0802_C01_008",36.8,2017,"Estimate","Total","Workers 16 years and over","AGE","Median age (years)",NA
"Seattle city, Washington","S0802_C01_009",52.2,2017,"Estimate","Total","Workers 16 years and over","SEX","Male",NA
"Seattle city, Washington","S0802_C01_010",47.8,2017,"Estimate","Total","Workers 16 years and over","SEX","Female",NA
"Seattle city, Washington","S0802_C01_011",NA,2017,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race",NA
"Seattle city, Washington","S0802_C01_012",70.8,2017,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race","White"
"Seattle city, Washington","S0802_C01_013",5.5,2017,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race","Black or African American"
"Seattle city, Washington","S0802_C01_014",NA,2017,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race","American Indian and Alaska Native"
"Seattle city, Washington","S0802_C01_015",15,2017,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race","Asian"
"Seattle city, Washington","S0802_C01_016",NA,2017,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race","Native Hawaiian and Other Pacific Islander"
"Seattle city, Washington","S0802_C01_017",2.6,2017,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race","Some other race"
"Seattle city, Washington","S0802_C01_018",5.5,2017,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","Two or more races",NA
"Seattle city, Washington","S0802_C01_019",6.5,2017,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","Hispanic or Latino origin (of any race)",NA
"Seattle city, Washington","S0802_C01_020",67.3,2017,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","White alone, not Hispanic or Latino",NA
"Seattle city, Washington","S0802_C01_021",81.9,2017,"Estimate","Total","Workers 16 years and over","NATIVITY AND CITIZENSHIP STATUS","Native",NA
"Seattle city, Washington","S0802_C01_022",18.1,2017,"Estimate","Total","Workers 16 years and over","NATIVITY AND CITIZENSHIP STATUS","Foreign born",NA
"Seattle city, Washington","S0802_C01_023",9,2017,"Estimate","Total","Workers 16 years and over","NATIVITY AND CITIZENSHIP STATUS","Foreign born","Naturalized U.S. citizen"
"Seattle city, Washington","S0802_C01_024",9.1,2017,"Estimate","Total","Workers 16 years and over","NATIVITY AND CITIZENSHIP STATUS","Foreign born","Not a U.S. citizen"
"Seattle city, Washington","S0802_C01_025",18.6,2017,"Estimate","Total","Workers 16 years and over","LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","Speak language other than English",NA
"Seattle city, Washington","S0802_C01_026",12,2017,"Estimate","Total","Workers 16 years and over","LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","Speak language other than English","Speak English ""very well"""
"Seattle city, Washington","S0802_C01_027",6.6,2017,"Estimate","Total","Workers 16 years and over","LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","Speak language other than English","Speak English less than ""very well"""
"Seattle city, Washington","S0802_C01_028",426777,2017,"Estimate","Total","EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","Workers 16 years and over with earnings",NA,NA
"Seattle city, Washington","S0802_C01_029",7.5,2017,"Estimate","Total","EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","Workers 16 years and over with earnings","$1 to $9,999 or loss",NA
"Seattle city, Washington","S0802_C01_030",4.6,2017,"Estimate","Total","EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","Workers 16 years and over with earnings","$10,000 to $14,999",NA
"Seattle city, Washington","S0802_C01_031",8.8,2017,"Estimate","Total","EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","Workers 16 years and over with earnings","$15,000 to $24,999",NA
"Seattle city, Washington","S0802_C01_032",9.1,2017,"Estimate","Total","EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","Workers 16 years and over with earnings","$25,000 to $34,999",NA
"Seattle city, Washington","S0802_C01_033",13,2017,"Estimate","Total","EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","Workers 16 years and over with earnings","$35,000 to $49,999",NA
"Seattle city, Washington","S0802_C01_034",13.9,2017,"Estimate","Total","EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","Workers 16 years and over with earnings","$50,000 to $64,999",NA
"Seattle city, Washington","S0802_C01_035",6.1,2017,"Estimate","Total","EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","Workers 16 years and over with earnings","$65,000 to $74,999",NA
"Seattle city, Washington","S0802_C01_036",37,2017,"Estimate","Total","EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","Workers 16 years and over with earnings","$75,000 or more",NA
"Seattle city, Washington","S0802_C01_037",56569,2017,"Estimate","Total","EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","Workers 16 years and over with earnings","Median earnings (dollars)",NA
"Seattle city, Washington","S0802_C01_038",423401,2017,"Estimate","Total","POVERTY STATUS IN THE PAST 12 MONTHS","Workers 16 years and over for whom poverty status is determined",NA,NA
"Seattle city, Washington","S0802_C01_039",5.3,2017,"Estimate","Total","POVERTY STATUS IN THE PAST 12 MONTHS","Workers 16 years and over for whom poverty status is determined","Below 100 percent of the poverty level",NA
"Seattle city, Washington","S0802_C01_040",3.2,2017,"Estimate","Total","POVERTY STATUS IN THE PAST 12 MONTHS","Workers 16 years and over for whom poverty status is determined","100 to 149 percent of the poverty level",NA
"Seattle city, Washington","S0802_C01_041",91.5,2017,"Estimate","Total","POVERTY STATUS IN THE PAST 12 MONTHS","Workers 16 years and over for whom poverty status is determined","At or above 150 percent of the poverty level",NA
"Seattle city, Washington","S0802_C01_042",426777,2017,"Estimate","Total","Workers 16 years and over",NA,NA,NA
"Seattle city, Washington","S0802_C01_043",61,2017,"Estimate","Total","Workers 16 years and over","OCCUPATION","Management, business, science, and arts occupations",NA
"Seattle city, Washington","S0802_C01_044",13.6,2017,"Estimate","Total","Workers 16 years and over","OCCUPATION","Service occupations",NA
"Seattle city, Washington","S0802_C01_045",17.2,2017,"Estimate","Total","Workers 16 years and over","OCCUPATION","Sales and office occupations",NA
"Seattle city, Washington","S0802_C01_046",3.3,2017,"Estimate","Total","Workers 16 years and over","OCCUPATION","Natural resources, construction, and maintenance occupations",NA
"Seattle city, Washington","S0802_C01_047",4.7,2017,"Estimate","Total","Workers 16 years and over","OCCUPATION","Production, transportation, and material moving occupations",NA
"Seattle city, Washington","S0802_C01_048",0.1,2017,"Estimate","Total","Workers 16 years and over","OCCUPATION","Military specific occupations",NA
"Seattle city, Washington","S0802_C01_049",0.3,2017,"Estimate","Total","Workers 16 years and over","INDUSTRY","Agriculture, forestry, fishing and hunting, and mining",NA
"Seattle city, Washington","S0802_C01_050",3.7,2017,"Estimate","Total","Workers 16 years and over","INDUSTRY","Construction",NA
"Seattle city, Washington","S0802_C01_051",6.8,2017,"Estimate","Total","Workers 16 years and over","INDUSTRY","Manufacturing",NA
"Seattle city, Washington","S0802_C01_052",2.1,2017,"Estimate","Total","Workers 16 years and over","INDUSTRY","Wholesale trade",NA
"Seattle city, Washington","S0802_C01_053",12.6,2017,"Estimate","Total","Workers 16 years and over","INDUSTRY","Retail trade",NA
"Seattle city, Washington","S0802_C01_054",3.1,2017,"Estimate","Total","Workers 16 years and over","INDUSTRY","Transportation and warehousing, and utilities",NA
"Seattle city, Washington","S0802_C01_055",8.9,2017,"Estimate","Total","Workers 16 years and over","INDUSTRY","Information and finance and insurance, and real estate and rental and leasing",NA
"Seattle city, Washington","S0802_C01_056",21.5,2017,"Estimate","Total","Workers 16 years and over","INDUSTRY","Professional, scientific, management, and administrative and waste management services",NA
"Seattle city, Washington","S0802_C01_057",22,2017,"Estimate","Total","Workers 16 years and over","INDUSTRY","Educational services, and health care and social assistance",NA
"Seattle city, Washington","S0802_C01_058",10.8,2017,"Estimate","Total","Workers 16 years and over","INDUSTRY","Arts, entertainment, and recreation, and accommodation and food services",NA
"Seattle city, Washington","S0802_C01_059",4.8,2017,"Estimate","Total","Workers 16 years and over","INDUSTRY","Other services (except public administration)",NA
"Seattle city, Washington","S0802_C01_060",3.3,2017,"Estimate","Total","Workers 16 years and over","INDUSTRY","Public administration",NA
"Seattle city, Washington","S0802_C01_061",0.2,2017,"Estimate","Total","Workers 16 years and over","INDUSTRY","Armed forces",NA
"Seattle city, Washington","S0802_C01_062",80.4,2017,"Estimate","Total","Workers 16 years and over","CLASS OF WORKER","Private wage and salary workers",NA
"Seattle city, Washington","S0802_C01_063",13.2,2017,"Estimate","Total","Workers 16 years and over","CLASS OF WORKER","Government workers",NA
"Seattle city, Washington","S0802_C01_064",6.3,2017,"Estimate","Total","Workers 16 years and over","CLASS OF WORKER","Self-employed workers in own not incorporated business",NA
"Seattle city, Washington","S0802_C01_065",0.1,2017,"Estimate","Total","Workers 16 years and over","CLASS OF WORKER","Unpaid family workers",NA
"Seattle city, Washington","S0802_C01_066",99.7,2017,"Estimate","Total","Workers 16 years and over","PLACE OF WORK","Worked in state of residence",NA
"Seattle city, Washington","S0802_C01_067",94.8,2017,"Estimate","Total","Workers 16 years and over","PLACE OF WORK","Worked in state of residence","Worked in county of residence"
"Seattle city, Washington","S0802_C01_068",4.9,2017,"Estimate","Total","Workers 16 years and over","PLACE OF WORK","Worked in state of residence","Worked outside county of residence"
"Seattle city, Washington","S0802_C01_069",0.3,2017,"Estimate","Total","Workers 16 years and over","PLACE OF WORK","Worked outside state of residence",NA
"Seattle city, Washington","S0802_C01_070",395983,2017,"Estimate","Total","Workers 16 years and over who did not work from home",NA,NA,NA
"Seattle city, Washington","S0802_C01_071",1.8,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","12:00 a.m. to 4:59 a.m.",NA
"Seattle city, Washington","S0802_C01_072",2.1,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","5:00 a.m. to 5:29 a.m.",NA
"Seattle city, Washington","S0802_C01_073",3,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","5:30 a.m. to 5:59 a.m.",NA
"Seattle city, Washington","S0802_C01_074",5.3,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","6:00 a.m. to 6:29 a.m.",NA
"Seattle city, Washington","S0802_C01_075",8.5,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","6:30 a.m. to 6:59 a.m.",NA
"Seattle city, Washington","S0802_C01_076",13.5,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","7:00 a.m. to 7:29 a.m.",NA
"Seattle city, Washington","S0802_C01_077",13.7,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","7:30 a.m. to 7:59 a.m.",NA
"Seattle city, Washington","S0802_C01_078",14.8,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","8:00 a.m. to 8:29 a.m.",NA
"Seattle city, Washington","S0802_C01_079",10.1,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","8:30 a.m. to 8:59 a.m.",NA
"Seattle city, Washington","S0802_C01_080",27.2,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TIME OF DEPARTURE TO GO TO WORK","9:00 a.m. to 11:59 p.m.",NA
"Seattle city, Washington","S0802_C01_081",6.7,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","Less than 10 minutes",NA
"Seattle city, Washington","S0802_C01_082",8.9,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","10 to 14 minutes",NA
"Seattle city, Washington","S0802_C01_083",13.2,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","15 to 19 minutes",NA
"Seattle city, Washington","S0802_C01_084",16.7,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","20 to 24 minutes",NA
"Seattle city, Washington","S0802_C01_085",7.9,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","25 to 29 minutes",NA
"Seattle city, Washington","S0802_C01_086",17.9,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","30 to 34 minutes",NA
"Seattle city, Washington","S0802_C01_087",10.6,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","35 to 44 minutes",NA
"Seattle city, Washington","S0802_C01_088",11.4,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","45 to 59 minutes",NA
"Seattle city, Washington","S0802_C01_089",6.8,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","60 or more minutes",NA
"Seattle city, Washington","S0802_C01_090",28.3,2017,"Estimate","Total","Workers 16 years and over who did not work from home","TRAVEL TIME TO WORK","Mean travel time to work (minutes)",NA
"Seattle city, Washington","S0802_C01_091",422550,2017,"Estimate","Total","Workers 16 years and over in households",NA,NA,NA
"Seattle city, Washington","S0802_C01_092",48.7,2017,"Estimate","Total","Workers 16 years and over in households","HOUSING TENURE","Owner-occupied housing units",NA
"Seattle city, Washington","S0802_C01_093",51.3,2017,"Estimate","Total","Workers 16 years and over in households","HOUSING TENURE","Renter-occupied housing units",NA
"Seattle city, Washington","S0802_C01_094",9.6,2017,"Estimate","Total","Workers 16 years and over in households","VEHICLES AVAILABLE","No vehicle available",NA
"Seattle city, Washington","S0802_C01_095",36.2,2017,"Estimate","Total","Workers 16 years and over in households","VEHICLES AVAILABLE","1 vehicle available",NA
"Seattle city, Washington","S0802_C01_096",36.9,2017,"Estimate","Total","Workers 16 years and over in households","VEHICLES AVAILABLE","2 vehicles available",NA
"Seattle city, Washington","S0802_C01_097",17.4,2017,"Estimate","Total","Workers 16 years and over in households","VEHICLES AVAILABLE","3 or more vehicles available",NA
"Seattle city, Washington","S0802_C01_098",8.5,2017,"Estimate","Total","PERCENT ALLOCATED","Means of transportation to work",NA,NA
"Seattle city, Washington","S0802_C01_099",18.7,2017,"Estimate","Total","PERCENT ALLOCATED","Time of departure to go to work",NA,NA
"Seattle city, Washington","S0802_C01_100",11.7,2017,"Estimate","Total","PERCENT ALLOCATED","Travel time to work",NA,NA
"Seattle city, Washington","S0802_C01_101",0.9,2017,"Estimate","Total","PERCENT ALLOCATED","Vehicles available",NA,NA
"Seattle city, Washington","S0802_C02_001",201545,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over",NA,NA,NA
"Seattle city, Washington","S0802_C02_002",1.5,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","AGE","16 to 19 years",NA
"Seattle city, Washington","S0802_C02_003",6.6,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","AGE","20 to 24 years",NA
"Seattle city, Washington","S0802_C02_004",53.8,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","AGE","25 to 44 years",NA
"Seattle city, Washington","S0802_C02_005",19.8,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","AGE","45 to 54 years",NA
"Seattle city, Washington","S0802_C02_006",7.4,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","AGE","55 to 59 years",NA
"Seattle city, Washington","S0802_C02_007",11.1,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","AGE","60 years and over",NA
"Seattle city, Washington","S0802_C02_008",39.6,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","AGE","Median age (years)",NA
"Seattle city, Washington","S0802_C02_009",51.1,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","SEX","Male",NA
"Seattle city, Washington","S0802_C02_010",48.9,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","SEX","Female",NA
"Seattle city, Washington","S0802_C02_011",NA,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race",NA
"Seattle city, Washington","S0802_C02_012",71.5,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race","White"
"Seattle city, Washington","S0802_C02_013",5.9,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race","Black or African American"
"Seattle city, Washington","S0802_C02_014",NA,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race","American Indian and Alaska Native"
"Seattle city, Washington","S0802_C02_015",15,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race","Asian"
"Seattle city, Washington","S0802_C02_016",NA,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race","Native Hawaiian and Other Pacific Islander"
"Seattle city, Washington","S0802_C02_017",2.3,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race","Some other race"
"Seattle city, Washington","S0802_C02_018",4.8,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","Two or more races",NA
"Seattle city, Washington","S0802_C02_019",6.1,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","Hispanic or Latino origin (of any race)",NA
"Seattle city, Washington","S0802_C02_020",68.2,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","White alone, not Hispanic or Latino",NA
"Seattle city, Washington","S0802_C02_021",82.5,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","NATIVITY AND CITIZENSHIP STATUS","Native",NA
"Seattle city, Washington","S0802_C02_022",17.5,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","NATIVITY AND CITIZENSHIP STATUS","Foreign born",NA
"Seattle city, Washington","S0802_C02_023",10.5,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","NATIVITY AND CITIZENSHIP STATUS","Foreign born","Naturalized U.S. citizen"
"Seattle city, Washington","S0802_C02_024",7,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","NATIVITY AND CITIZENSHIP STATUS","Foreign born","Not a U.S. citizen"
"Seattle city, Washington","S0802_C02_025",18.4,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","Speak language other than English",NA
"Seattle city, Washington","S0802_C02_026",11.3,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","Speak language other than English","Speak English ""very well"""
"Seattle city, Washington","S0802_C02_027",7.1,2017,"Estimate","Car, truck, or van -- drove alone","Workers 16 years and over","LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","Speak language other than English","Speak English less than ""very well"""
"Seattle city, Washington","S0802_C02_028",201545,2017,"Estimate","Car, truck, or van -- drove alone","EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","Workers 16 years and over with earnings",NA,NA
